Hugo_Symbol	compounds	samples	predicted_proportion	observed_proportion	p_enriched	p_twosided	logOR	Role	q_enriched	q_twosided
APC	988	2724	0.0755366058180374	0.362701908957416	0	0	2.26353647455601	TSG	0	0
TP53	751	12423	0.0226089493533385	0.0604523867020848	5.7854639072039e-123	6.20157883311902e-123	1.41890534814995	TSG	1.35090582233211e-120	1.44806865753329e-120
PTEN	233	1742	0.0240782383079815	0.133754305396096	1.37757906967331e-97	1.37757906967331e-97	2.47378358511601	TSG	2.14443141845812e-95	2.14443141845812e-95
PIK3CA	374	3784	0.0317485249957528	0.0988372093023256	2.37369842128804e-80	2.37369842128804e-80	1.63836470902852	Oncogene	2.77129290685379e-78	2.77129290685379e-78
MAP3K1	133	551	0.0388706235592534	0.241379310344828	1.34961138293321e-64	1.34961138293321e-64	2.63454986525026	TSG	1.26053703165962e-62	1.26053703165962e-62
EGFR	174	1408	0.0498488270867777	0.123579545454545	2.46015348546053e-27	2.61133214516452e-27	1.30980850771869	Oncogene	1.91481946285011e-25	1.52436513973979e-25
PIK3R1	75	725	0.0238545389332014	0.103448275862069	1.02814097945347e-25	1.02814097945347e-25	2.11657389356557	TSG	6.85916910578243e-24	5.33490930449744e-24
ARID1A	222	1889	0.0603365244840964	0.117522498676548	8.23714771893396e-21	1.2705909184302e-20	0.961833473251311	TSG	4.8084349809277e-19	5.93365958906902e-19
CDK12	64	384	0.0433899625121487	0.166666666666667	4.10870218342717e-20	4.10870218342717e-20	1.9415323493511	Oncogene/TSG	1.95416431377211e-18	1.50320331828624e-18
FBXW7	70	787	0.0241918450905129	0.0889453621346887	4.18450602520795e-20	4.18450602520795e-20	1.87839857463021	TSG	1.95416431377211e-18	1.50320331828624e-18
CIC	56	472	0.0345347643941581	0.11864406779661	2.16779255216382e-15	2.16779255216382e-15	1.78051868125728	TSG	9.20326474418638e-14	7.23113658471787e-14
NF1	160	1225	0.0761211627207864	0.130612244897959	2.93673051687591e-11	4.79880795650541e-11	0.778920652393256	TSG	1.14287762615088e-09	1.49402887712535e-09
CDKN1A	20	168	0.0198028520829819	0.119047619047619	2.10743563144961e-10	2.10743563144961e-10	2.58775863412119	TSG	7.57055722989977e-09	6.15107774929356e-09
BAP1	33	554	0.022308856292808	0.0595667870036101	5.66269240637368e-07	5.66269240637368e-07	1.41689159019172	TSG	1.88891239555465e-05	1.39183018619816e-05
FGFR3	26	359	0.0236341092050285	0.0724233983286908	6.73296516664286e-07	6.73296516664286e-07	1.61558538509778	Oncogene	2.09619648854814e-05	1.57214736641111e-05
PTPRT	67	936	0.0378955232734157	0.0715811965811966	8.82160240804921e-07	1.20954781775171e-06	0.917553232640928	TSG	2.57480520284936e-05	2.68980395661927e-05
ARID2	57	639	0.045655192236763	0.0892018779342723	1.75712189824479e-06	2.4193673000614e-06	0.966295139798125	TSG	4.82691721459009e-05	4.91236751795076e-05
SOX9	28	437	0.0244570972938215	0.0640732265446224	5.34424711075823e-06	5.34424711075823e-06	1.38946845548647	Oncogene/TSG	0.000134769099303734	0.000102424515470838
INPPL1	19	239	0.0236725610947984	0.0794979079497908	5.48311110657592e-06	5.48311110657592e-06	1.74770109795733	TSG	0.000134769099303734	0.000102424515470838
NOTCH1	73	754	0.0560918713529598	0.096816976127321	5.82511601009099e-06	7.89953316240203e-06	0.787468319961339	Oncogene/TSG	0.000136016458835625	0.000136632666179324
ERBB4	37	597	0.0278674395016458	0.0619765494137353	8.03804587132558e-06	8.88943154171617e-06	1.15314198239605	Oncogene	0.000178750829614716	0.000148263018927909
TSC2	39	458	0.0402485047095186	0.0851528384279476	1.24617262582684e-05	1.38386308955432e-05	1.08111943453598	TSG	0.000264528461936879	0.000222849676835126
CDKN2A	53	1226	0.0230328999155589	0.0432300163132137	1.58857073084986e-05	2.21885229578487e-05	0.908337318174025	TSG	0.000315239831233722	0.000314001218827738
SMAD4	51	1190	0.0225368215702496	0.0428571428571429	1.62007622047309e-05	2.12111418838163e-05	0.927251610932382	TSG	0.000315239831233722	0.000309550101866944
TBX3	34	536	0.0284474292172777	0.0634328358208955	1.71045800812745e-05	2.02998491054957e-05	1.15693155791464	TSG	0.000319513555918207	0.000305807404266662
NKX2_1	12	157	0.0196310700267404	0.0764331210191083	7.19913887593187e-05	7.19913887593187e-05	1.96105912997187	n/a	0.00129307609810007	0.00096057081573148
B2M	10	124	0.0182509684650956	0.0806451612903226	0.000101026786573401	0.000101026786573401	2.1436149534212	TSG	0.0016954852875503	0.00128306994733536
RUNX1	20	343	0.0220982087572774	0.0583090379008746	0.000101656505463401	0.000101656505463401	1.39979008650724	TSG	0.0016954852875503	0.00128306994733536
EPHA7	21	418	0.0199515733244064	0.0502392344497608	0.000135577270578071	0.000135577270578071	1.33231196270566	Oncogene/TSG	0.00218326156413653	0.0016661732989463
FOXA1	30	533	0.0267945171431872	0.0562851782363977	0.000149306568692291	0.000212904503979476	1.07081724476132	Oncogene/TSG	0.00232420558597666	0.00254939495790808
RB1	58	1276	0.0279558500207075	0.0454545454545455	0.000295927777929472	0.000453723334499143	0.701274359169159	TSG	0.00445800878364721	0.0052972199302775
DICER1	30	347	0.0440501722672564	0.0864553314121038	0.000406030606332523	0.000539308763101407	0.972807271692651	TSG	0.00592550916116525	0.00599659981829422
HLA_B	7	90	0.0157606731463944	0.0777777777777778	0.000576448903780051	0.000576448903780051	2.3030288611509	TSG	0.00815762539591769	0.00626050321082055
PDGFRA	29	448	0.0334543992954337	0.0647321428571429	0.000678106330389073	0.000858747843682334	0.952286323296985	Oncogene	0.00931398989093227	0.00911443734090113
ELF3	12	241	0.0177908020211186	0.0497925311203319	0.00144780718746347	0.00144780718746347	1.48479780454846	Oncogene/TSG	0.0193178844727269	0.0144976311679544
NTRK3	24	425	0.0297039370796947	0.0564705882352941	0.00238267441869405	0.00364110474130069	0.926845495148176	Oncogene	0.0309085820425034	0.0347019574323963
HLA_A	6	116	0.0130983334105279	0.0517241379310345	0.00440364636380767	0.00440364636380767	1.98145443576763	TSG	0.0555811581594103	0.0403235853313369
GRIN2A	38	743	0.0324902517333086	0.0511440107671602	0.00477191482083495	0.00682706915587658	0.654558381019426	TSG	0.0586443216139453	0.0590415054776734
SMAD3	12	228	0.0224966572084827	0.0526315789473684	0.00598186701402917	0.00598186701402917	1.22621802986775	TSG	0.070898969952905	0.0537217672221466
PREX2	24	498	0.0273293417899931	0.0481927710843374	0.00607271691245439	0.00825200390752624	0.818366044550872	n/a	0.070898969952905	0.0664428590485302
CDKN1B	10	183	0.0221134413435375	0.0546448087431694	0.00801177411545011	0.00801177411545011	1.30516088830133	TSG	0.0899771745569314	0.0656403247704421
ERBB3	30	512	0.0363801961973623	0.05859375	0.00809216559184394	0.0124001244148608	0.687593461959586	Oncogene	0.0899771745569314	0.0968101235789102
CASP8	10	185	0.0234087644130577	0.0540540540540541	0.0124381315090677	0.0124381315090677	1.20735403758984	TSG	0.135083893365921	0.0968101235789102
TCF7L2	14	368	0.0196000818002819	0.0380434782608696	0.0151629331362938	0.0208968830628827	0.95678948038306	TSG	0.160933858514754	0.150136067544096
REL	6	79	0.0255373650044105	0.0759493670886076	0.0157950274867301	0.0157950274867301	1.57242826971298	Oncogene	0.163917285251176	0.117083775179412
PTPRD	43	849	0.0369084410707651	0.0506478209658422	0.0251459610524759	0.0443180318015394	0.456549398235231	TSG	0.255286169815354	0.268785985082064
FGF19	4	67	0.0168982348634636	0.0597014925373134	0.0269467645586899	0.0269467645586899	1.82089444433171	Oncogene	0.267747639338472	0.174779709012614
ERBB2	35	694	0.0366648058586048	0.0504322766570605	0.0386006115328614	0.0677346773095035	0.459951453862164	Oncogene	0.375551783038464	0.363155970324093
LATS1	16	289	0.0341592392951148	0.055363321799308	0.0415729220561669	0.0519680751470267	0.696654659873761	TSG	0.396215400004693	0.299255501791836
STK11	25	819	0.0210918809075387	0.0305250305250305	0.0454163422735632	0.0670314869682347	0.53330498203806	TSG	0.42418863683508	0.363155970324093
KEAP1	25	720	0.0243320438081206	0.0347222222222222	0.051504857424606	0.0882090937443761	0.513001776424698	TSG	0.471622910142961	0.41609744220832
TGFBR2	15	347	0.0273693956724081	0.0432276657060519	0.0572755452646726	0.0957016580780758	0.659391353054445	TSG	0.514378454588502	0.446926743224614
EIF4E	2	26	0.0166119141306033	0.0769230769230769	0.0689534259114357	0.0689534259114357	2.2111981522392	n/a	0.607570752842273	0.363155970324093
FGFR2	15	314	0.0313560598217896	0.0477707006369427	0.0724512227550447	0.102869705753794	0.607381753591516	Oncogene	0.626568907900109	0.457525262733541
SRSF2	3	59	0.0165209036317611	0.0508474576271186	0.074172197528258	0.074172197528258	1.62188304218497	n/a	0.62978938628539	0.376504524409744
ERRFI1	4	88	0.0186644445674812	0.0454545454545455	0.0829388146028901	0.0829388146028901	1.28413199481166	TSG	0.691650471777672	0.403462775203642
SDHA	6	127	0.0241065228558551	0.047244094488189	0.0877581281794832	0.132850879000375	0.970710433263818	TSG	0.719000804558222	0.508535741747337
DNAJB1	3	66	0.0165804627394802	0.0454545454545455	0.0969110932096773	0.0969110932096773	1.45494029997099	n/a	0.780301388429643	0.448093866622963
TEK	8	154	0.0305011219008188	0.051948051948052	0.100442805443826	0.149995423950996	0.768207339814789	n/a	0.785683163501082	0.538829715270117
SESN2	3	58	0.0192325347141003	0.0517241379310345	0.100954619453757	0.100954619453757	1.42728878300353	TSG	0.785683163501082	0.457525262733541
CSF3R	6	167	0.0191198722318414	0.0359281437125748	0.102626708722839	0.142424714522446	0.91004151545132	Oncogene	0.785683163501082	0.519395843937097
SMAD2	9	216	0.0255915079479395	0.0416666666666667	0.105253126773317	0.129935479139911	0.703228530151455	TSG	0.788947987542297	0.508535741747337
EPHA5	24	560	0.032499379336846	0.0428571428571429	0.106431955492858	0.187514353505432	0.399123507293042	n/a	0.788947987542297	0.632266556723678
KMT2B	28	452	0.0484771204613306	0.0619469026548673	0.112974283534417	0.187412767656165	0.353728144078606	Oncogene/TSG	0.824359225165199	0.632266556723678
BMPR1A	5	95	0.0272063604226398	0.0526315789473684	0.117649277982954	0.117649277982954	0.951984705829923	TSG	0.83403406979389	0.502671501431995
ATM	97	1085	0.0791880096200921	0.0894009216589862	0.118246963517609	0.215881549058759	0.175007705779703	TSG	0.83403406979389	0.66766015503603
HIST1H3B	4	122	0.0154096857473397	0.0327868852459016	0.120416914885078	0.120416914885078	1.08928141121426	n/a	0.83403406979389	0.502671501431995
TERT_promoter	52	3164	0.0138356639364591	0.0164348925410872	0.121443933074913	0.222323045449074	0.248370146762656	NA	0.83403406979389	0.683058304109983
CARD11	17	429	0.0291746660926592	0.0396270396270396	0.128415318448719	0.194856885590742	0.44176904930571	Oncogene	0.869129763993506	0.639890032616581
KNSTRN	3	71	0.017704806773991	0.0422535211267606	0.131605570087594	0.131605570087594	1.25493047240364	n/a	0.877997160441522	0.508535741747337
SMARCB1	6	164	0.0211708470552558	0.0365853658536585	0.136563374599282	0.166481259765313	0.789187692490287	TSG	0.894850799800493	0.584562017371438
CD79A	2	49	0.0132738959622691	0.0408163265306122	0.137964149005644	0.137964149005644	1.62055447378236	Oncogene	0.894850799800493	0.518982193328714
RAD21	5	131	0.0210470882592287	0.0381679389312977	0.143680395660237	0.205310956918621	0.858740624395082	TSG	0.919160887305898	0.647839303249975
CARM1	3	69	0.0194661576101985	0.0434782608695652	0.151402987425841	0.151402987425841	1.15932609253451	n/a	0.955475609836049	0.539734313953188
INHBA	6	203	0.017849648532501	0.0295566502463054	0.157396667960205	0.183226953582021	0.727587106082095	n/a	0.980056585832208	0.629169024432381
DUSP4	2	45	0.0167198299911594	0.0444444444444444	0.173451883359492	0.173451883359492	1.4104429154137	TSG	1	0.600171520718959
DNMT3A	11	299	0.0266271476645819	0.0367892976588629	0.17759113411692	0.276354045154355	0.466388240797179	TSG	1	0.740899018013241
SESN1	2	43	0.0193867854324435	0.0465116279069767	0.202737987010404	0.202737987010404	1.26251782838604	TSG	1	0.646649047331799
CCND1	3	90	0.0172548748040976	0.0333333333333333	0.203549057725427	0.203549057725427	0.949961588092735	Oncogene	1	0.646649047331799
WHSC1L1	7	144	0.0333020428918728	0.0486111111111111	0.205681939479403	0.344184317193943	0.545675429202399	n/a	1	0.850444847246409
