chr	cds_start	cds_end	cds_id	dhs_start	dhs_end	dhs_id	tfbs_start	tfbs_end	tfbs_id	dataset
1	976045	976260	ENSG00000188157	976120	976270	36	976198	976217	NRSF	predicted not supported by ChIP-seq
1	976045	976260	ENSG00000188157	976120	976270	36	976244	976260	AP-2	predicted not supported by ChIP-seq
1	1290830	1291132	ENSG00000162576	1290900	1291050	65	1290961	1290970	AP-2	predicted not supported by ChIP-seq
1	1337466	1337636	ENSG00000242485	1337460	1337610	71	1337510	1337525	AP-2	predicted not supported by ChIP-seq
1	1510357	1510656	ENSG00000215014	1510480	1510630	100	1510484	1510512	Pax-5	predicted not supported by ChIP-seq
1	1510357	1510656	ENSG00000215014	1510480	1510630	100	1510583	1510596	AP-2	predicted not supported by ChIP-seq
1	1534718	1535395	ENSG00000228594	1535000	1535150	104	1535082	1535092	Nrf1	predicted not supported by ChIP-seq
1	1565672	1565907	ENSG00000197530	1565760	1565910	108	1565838	1565859	NRSF	predicted not supported by ChIP-seq
1	2160206	2161174	ENSG00000157933	2160620	2160770	172	2160648	2160667	NRSF	predicted not supported by ChIP-seq
1	2160206	2161174	ENSG00000157933	2160620	2160770	172	2160671	2160681	TAL1	predicted not supported by ChIP-seq
1	2160206	2161174	ENSG00000157933	2160620	2160770	172	2160694	2160710	Ets	predicted not supported by ChIP-seq
1	2491262	2491417	ENSG00000157873	2491200	2491350	222	2491276	2491290	Ets	predicted not supported by ChIP-seq
1	6159883	6160075	ENSG00000069424	6160000	6160150	369	6160053	6160067	Egr-1	predicted not supported by ChIP-seq
1	6420630	6420712	ENSG00000097021	6420660	6420810	413	6420661	6420669	STAT	predicted not supported by ChIP-seq
1	6642118	6642359	ENSG00000204859	6642100	6642250	442	6642167	6642182	AP-2	predicted not supported by ChIP-seq
1	6642118	6642359	ENSG00000204859	6642100	6642250	442	6642192	6642200	STAT	predicted not supported by ChIP-seq
1	7870498	7870648	ENSG00000049246	7870540	7870690	553	7870627	7870638	NF-E2	predicted not supported by ChIP-seq
1	8557465	8557589	ENSG00000142599	8557540	8557690	642	8557560	8557572	Nanog	predicted not supported by ChIP-seq
